[2021-05-30 15:21:02,224] INFO [ExpirationReaper-0-Produce]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,232] INFO [ExpirationReaper-0-Produce]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,232] INFO [ExpirationReaper-0-Produce]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,233] INFO [ExpirationReaper-0-DeleteRecords]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,302] INFO [ExpirationReaper-0-DeleteRecords]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,302] INFO [ExpirationReaper-0-DeleteRecords]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,303] INFO [ExpirationReaper-0-ElectLeader]: Shutting down (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,434] INFO [ExpirationReaper-0-ElectLeader]: Stopped (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,434] INFO [ExpirationReaper-0-ElectLeader]: Shutdown completed (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
[2021-05-30 15:21:02,436] INFO [ReplicaManager broker=0] Shut down completely (kafka.server.ReplicaManager)
[2021-05-30 15:21:02,437] INFO [broker-0-to-controller-send-thread]: Shutting down (kafka.server.BrokerToControllerRequestThread)
[2021-05-30 15:21:02,437] INFO [broker-0-to-controller-send-thread]: Shutdown completed (kafka.server.BrokerToControllerRequestThread)
[2021-05-30 15:21:02,437] INFO [broker-0-to-controller-send-thread]: Stopped (kafka.server.BrokerToControllerRequestThread)
[2021-05-30 15:21:02,439] INFO Broker to controller channel manager for alterIsrChannel shutdown (kafka.server.BrokerToControllerChannelManagerImpl)
[2021-05-30 15:21:02,440] INFO Shutting down. (kafka.log.LogManager)
[2021-05-30 15:21:03,021] INFO [ProducerStateManager partition=quickstart-events-0] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2021-05-30 15:21:03,179] INFO [ProducerStateManager partition=connect-configs-0] Writing producer snapshot at offset 1 (kafka.log.ProducerStateManager)
[2021-05-30 15:21:03,491] INFO [ProducerStateManager partition=__consumer_offsets-13] Writing producer snapshot at offset 3 (kafka.log.ProducerStateManager)
[2021-05-30 15:21:03,675] INFO [ProducerStateManager partition=__consumer_offsets-24] Writing producer snapshot at offset 1 (kafka.log.ProducerStateManager)
[2021-05-30 15:21:04,058] INFO Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
[2021-05-30 15:21:04,065] INFO Socket error occurred: localhost/127.0.0.1:2181: Connection refused (org.apache.zookeeper.ClientCnxn)
[2021-05-30 15:21:04,160] INFO [ProducerStateManager partition=__consumer_offsets-5] Writing producer snapshot at offset 1 (kafka.log.ProducerStateManager)
[2021-05-30 15:21:04,338] INFO Shutdown complete. (kafka.log.LogManager)
[2021-05-30 15:21:04,352] INFO [feature-zk-node-event-process-thread]: Shutting down (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2021-05-30 15:21:04,352] INFO [feature-zk-node-event-process-thread]: Stopped (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2021-05-30 15:21:04,352] INFO [feature-zk-node-event-process-thread]: Shutdown completed (kafka.server.FinalizedFeatureChangeListener$ChangeNotificationProcessorThread)
[2021-05-30 15:21:04,354] INFO [ZooKeeperClient Kafka server] Closing. (kafka.zookeeper.ZooKeeperClient)
[2021-05-30 15:21:05,875] INFO Opening socket connection to server localhost/0:0:0:0:0:0:0:1:2181. Will not attempt to authenticate using SASL (unknown error) (org.apache.zookeeper.ClientCnxn)
[2021-05-30 15:21:05,982] INFO EventThread shut down for session: 0x10000c4ac1d0000 (org.apache.zookeeper.ClientCnxn)
[2021-05-30 15:21:05,982] INFO Session: 0x10000c4ac1d0000 closed (org.apache.zookeeper.ZooKeeper)
[2021-05-30 15:21:05,984] INFO [ZooKeeperClient Kafka server] Closed. (kafka.zookeeper.ZooKeeperClient)
[2021-05-30 15:21:05,984] INFO [ThrottledChannelReaper-Fetch]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:06,460] INFO [ThrottledChannelReaper-Fetch]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:06,460] INFO [ThrottledChannelReaper-Fetch]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:06,460] INFO [ThrottledChannelReaper-Produce]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:06,547] INFO [ThrottledChannelReaper-Produce]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:06,547] INFO [ThrottledChannelReaper-Request]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:06,547] INFO [ThrottledChannelReaper-Produce]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:07,548] INFO [ThrottledChannelReaper-Request]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:07,548] INFO [ThrottledChannelReaper-Request]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:07,549] INFO [ThrottledChannelReaper-ControllerMutation]: Shutting down (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:08,468] INFO [ThrottledChannelReaper-ControllerMutation]: Stopped (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:08,468] INFO [ThrottledChannelReaper-ControllerMutation]: Shutdown completed (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
[2021-05-30 15:21:08,469] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutting down socket server (kafka.network.SocketServer)
[2021-05-30 15:21:08,491] INFO [SocketServer listenerType=ZK_BROKER, nodeId=0] Shutdown completed (kafka.network.SocketServer)
[2021-05-30 15:21:08,492] INFO Metrics scheduler closed (org.apache.kafka.common.metrics.Metrics)
[2021-05-30 15:21:08,492] INFO Closing reporter org.apache.kafka.common.metrics.JmxReporter (org.apache.kafka.common.metrics.Metrics)
[2021-05-30 15:21:08,493] INFO Metrics reporters closed (org.apache.kafka.common.metrics.Metrics)
[2021-05-30 15:21:08,495] INFO Broker and topic stats closed (kafka.server.BrokerTopicStats)
[2021-05-30 15:21:08,496] INFO App info kafka.server for 0 unregistered (org.apache.kafka.common.utils.AppInfoParser)
[2021-05-30 15:21:08,497] INFO [KafkaServer id=0] shut down completed (kafka.server.KafkaServer)
